,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,orig_adapter
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T09:20:00Z,,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T09:30:00Z,31.6,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T09:40:00Z,22.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T09:50:00Z,22.1,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T10:00:00Z,,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T10:10:00Z,,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T10:20:00Z,21.5,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T10:30:00Z,21.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T10:40:00Z,21.2,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T10:50:00Z,21.2,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T11:00:00Z,20.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T11:10:00Z,20.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T11:20:00Z,20.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T11:30:00Z,20.7,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T11:40:00Z,20.5,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T11:50:00Z,20.4,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T12:00:00Z,20.4,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T12:10:00Z,20.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T12:20:00Z,20.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T12:30:00Z,20.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T12:40:00Z,20,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T12:50:00Z,20.1,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T13:00:00Z,20.2,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T13:10:00Z,19.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T13:20:00Z,19.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T13:30:00Z,19.7,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T13:40:00Z,19.4,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T13:50:00Z,19.2,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T14:00:00Z,18.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T14:10:00Z,18.8,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T14:20:00Z,19.5,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T14:30:00Z,19.7,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T14:40:00Z,19.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T14:50:00Z,19.8,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T15:00:00Z,19.9,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T15:10:00Z,20,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T15:20:00Z,20,temp,telemetry,Upi_iotdev_4,hono-mqtt
,,0,2021-10-13T17:00:00Z,2021-10-16T17:00:00Z,2021-10-14T15:30:00Z,20.3,temp,telemetry,Upi_iotdev_4,hono-mqtt
